name,ticker,cusip,shares,value_usd,pct_portfolio,country
Southwest Airlines Co,LUV,844741108,2534144,80864535.04,11.50770845,US
Delta Air Lines Inc,DAL,247361702,1295054,73494314.5,10.45886362,US
United Airlines Holdings Inc,UAL,910047109,742367,71638415.5,10.19475347,US
American Airlines Group Inc,AAL,02376R102,6170813,69359938.12,9.870506836,US
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,33041344.25,33041344.25,4.702063225,US
Allegiant Travel Co,ALGT,01748X102,362234,22012960.18,3.132630735,US
JetBlue Airways Corp,JBLU,477143101,4290472,21109122.24,3.004006939,US
Sun Country Airlines Holdings,SNCY,866683105,1739566,20544274.46,2.923624314,US
SkyWest Inc,SKYW,830879102,204030,20529498.6,2.921521584,US
Air Canada,AC,8911877,1607672,20285061.67,2.886736138,CA
Frontier Group Holdings Inc,ULCC,35909R108,4342046,19170133.09,2.728072355,US
Bombardier Inc,BBD/B,97751861,129176,18102461.22,2.576133602,CA
Alaska Air Group Inc,ALK,11659109,353356,17590061.68,2.503214806,US
General Dynamics Corp,GD,369550108,45138,15392058,2.19042026,US
Textron Inc,TXT,883203101,180853,15280269.97,2.174511877,US
Sabre Corp,SABR,78573M104,8274731,15142757.73,2.15494272,US
Booking Holdings Inc,BKNG,09857L108,2667,14399853.09,2.049221095,US
Expedia Group Inc,EXPE,30212P303,67205,14365068.75,2.044270989,US
Boeing Co/The,BA,97023105,63084,13615419.72,1.937589581,US
TripAdvisor Inc,TRIP,896945201,830558,13504873.08,1.921857857,US
Airports of Thailand PCL,AOT,N/A,6239813,7798562.77,1.109801554,TH
Embraer SA,ERJ,29082A107,126350,7637857.5,1.086931833,BR
Airbus SE,AIR,N/A,32664,7570148.05,1.077296204,FR
Ryanair Holdings PLC,RYAAY,783513203,124325,7486851.5,1.0654424,IE
Trip.com Group Ltd,TCOM,89677Q107,99470,7480144,1.064487866,SG
Amadeus IT Group SA,AMS,N/A,92847,7357995.3,1.047105071,ES
Turk Hava Yollari AO,THYAO,N/A,970674,7354077.29,1.046547505,TR
International Consolidated Air,IAG,N/A,1366177,7094088.36,1.009548877,GB
Aena SME SA,AENA,N/A,256993,7021106.09,0.999162882,ES
Qantas Airways Ltd,QAN,N/A,950823,6870417.51,0.97771862,AU
Air China Ltd,753,N/A,5435256,4064943.87,0.578475952,CN
Copa Holdings SA,CPA,N/A,31769,3774792.58,0.537184966,PA
Aeroports de Paris SA,ADP,N/A,28061,3699736.19,0.526503805,FR
Singapore Airlines Ltd,SIA,N/A,729700,3688239.08,0.524867669,SG
easyJet PLC,EZJ,N/A,587783,3667961.97,0.521982065,GB
Tongcheng Travel Holdings Ltd,780,G8918W106,1236607,3654862.98,0.520117967,CN
El Al Israel Airlines,ELAL,N/A,795679,3625021.47,0.515871268,IL
Pegasus Hava Tasimaciligi AS,PGSUS,N/A,694237.78,3615017.33,0.514447594,TR
Cathay Pacific Airways Ltd,293,N/A,2645851,3559783.85,0.506587402,HK
Deutsche Lufthansa AG,LHA,N/A,420342,3557176.56,0.506216362,DE
ANA Holdings Inc,9202,N/A,183797,3555757.63,0.506014436,JP
Japan Airlines Co Ltd,9201,N/A,173151,3492642.48,0.497032616,JP
Grupo Aeroportuario del Surest,ASR,4.01E+206,10793,3489700.69,0.496613974,MX
Norwegian Air Shuttle ASA,NAS,N/A,2181975,3477542.81,0.494883805,NO
MakeMyTrip Ltd,MMYT,N/A,36997,3462919.2,0.492802741,IN
Latam Airlines Group SA,LTM,51817R205,76298,3452484.5,0.491317795,CL
Grupo Aeroportuario del Pacifi,GAPB,P4959P100,144618,3406046.67,0.484709298,MX
Wizz Air Holdings Plc,WIZZ,N/A,214544,3332638.29,0.474262664,HU
Air France-KLM,AF,N/A,240865,3230857.21,0.459778354,FR
Grupo Aeroportuario del Centro,OMAB,400501102,30697,3188497.39,0.453750193,MX
First American Government Obli,FGXXX,31846V336,1409199.69,1409199.69,0.200541055,US