source_name,notes,exchange,final_ticker,ticker_status
21 Air,,,,
ABX Air,,,,
ABX Air Inc,,,,
ATA Airlines,,,,
Accessair Holdings,,,,
Aerial Transit Company,,,,
Aerodynamics,,,,
Air 21,,,,
Air America,,,,
Air South,,,,
Air Transport International,,,,
Air Wisconsin,,,,
AirTran,,,,
Airborne Express,,,,
Airline Of The Americas,,,,
Airmark,,,,
Alaska,,NYSE,ALK,
Allegiant Air,,NASDAQ,ALGT,
Aloha,,,,
Aloha Air Cargo,,,,
America West,,,,
American,,NASDAQ,AA,
American Eagle,,,,
American International,,,,
American Trans Air,,,,
Amerijet International,,,,
Ameristar Air Cargo,,,,
Arrow Air,,,,
Asia Pacific,,,,
Aspen,,,,
Astar Air Cargo,,,,
Astar USA,,,,
Atlantic Coast,,,,
Atlantic Southeast,,,,
Atlas Air,,,,
Av Atlantic,,,,
Aviation Concepts,,,,
Avjet,,,,
BNJ Charter Company,,,,
Boston-Maine Airways,,,,
Braniff International,,,,
Breeze Aviation Group DBA Breeze,,,,
Buffalo,,,,
Business Express,,,,
Capital Cargo International,,,,
Capitol Air Express,,,,
Cargo 360,,,,
Caribbean Sun,,,,
Caribbean Sun Airlines,,,,
Carnival,,,,
Casino Express,,,,
Centurion Cargo,,,,
Challenge Air Cargo,,,,
Champion Air,,,,
Chautauqua,,,,
Colgan Air,,,,
Comair,,,,
Commutair Aka Champlain Enterprises,,,,
CommuteAir dba CommuteAir,,,,
Compass,,,,
Conner,,,,
Connie Kalitta Services,,,,
Continental,,,,
Continental Micronesia,,,,
Custom Air Transport,,,,
DHL,,,,
Delta,,NYSE,DAL,
Discovery,,,,
Dynamic,,,,
EOS,,,,
Eagle,,,,
Eastern,,,,
Eastern Air Express (EAX),,,,
Eastwind,,,,
Elite,,,,
Emerald,,,,
Emery Worldwide,,,,
Empire,,,,
Endeavor Air,,,,
Envoy Air,,,,
Evergreen International,,,,
Executive,,,,
Express One International,,,,
Express.Net,,,,
ExpressJet,,,,
ExpressJet Airlines,,,,
Falcon Air Express,,,,
Federal Express,,NYSE,FDX,
Fine Airlines,,,,
Flagship,,,,
Flagship Express Services,,,,
Florida West,,,,
Freedom Airlines,,,,
Frontier,,NASDAQ,ULCC,
Gemini Air Cargo,,,,
Global Crossing,,,,
GoJet Airlines,,,,
Grand,,,,
Great American,,,,
Gulf And Caribbean Cargo,,,,
Hawaiian,,,,
Hillwood,,,,
Horizon Air,,,,
Independence Air,,,,
Independent Air,,,,
International Cargo Xpress,,,,
Island Air Hawaii,,,,
Jet Aviation Flight Services,,,,
Jet Fleet Intl.,,,,
JetBlue,,NASDAQ ,JBLU,
Jettrain,,,,
KaiserAir,,,,
Kalitta Air,,,,
Kalitta Charters II,,,,
Key,,,,
Kitty Hawk Aircargo,,,,
Kitty Hawk International,,,,
Kiwi International,,,,
Laker,,,,
Legend Airlines,,,,
Lorair,,,,
Lynden Air Cargo,,,,
Lynx Aviation,,,,
MAXjet,,,,
MGM Grand Air,,,,
Markair,,,,
Mesa,,,,
Mesaba,,,,
Miami Air International,,,,
Midway,,,,
Midwest Airline,,,,
Midwest Express,,,,
Millon Air,,,,
Morris Air,,,,
Murray Air,,,,
National,,,,
National Air Cargo Group,,,,
National Air Cargo Group Inc d/ba National,,,,
Nations Air Express,,,,
NetJets,,,,
North American,,,,
Northern Air Cargo,,,,
Northwest,,,,
Omega Air Holdings,,,,
Omni Air Express,,,,
Omni Air International,,,,
Orange Air,,,,
PSA,,,,
Pace,,,,
Pacific International,,,,
Pacific Interstate,,,,
Pan American,,,,
Pan American World,,,,
Panagra,,,,
Paradise,,,,
Patriot,,,,
Piedmont,,,,
Pinnacle,,,,
Planet,,,,
Polar Air Cargo,,,,
Polaris Aviation Solutions,,,,
Prescott Support Company,,,,
Prestige,,,,
Primaris,,,,
Private Jet Expeditions,,,,
Pro Air,,,,
Reeve Aleutian,,,,
Reliant,,,,
Reno Air,,,,
Renown Aviation,,,,
Republic,,,,
Republic Airline,,,,
Rhoades Aviation dba Transair,,,,
Rich International,,,,
Rosenbalm Aviation,,,,
Ryan International,,,,
Scott Aviation,,,,
Shuttle America,,,,
Sierra Pacific,,,,
Silver,,,,
Simmons,,,,
Sky King,,,,
Sky Lease Cargo,,,,
Sky Trek International,,,,
SkyWest,,NASDAQ ,SKYW,
Skybus,,,,
Songbird,,,,
Southeast Airlines,,,,
Southern Air,,,,
Southern Air Transport,,,,
Southwest,,NYSE,LUV,
Spirit,,,,
Sportsflight,,,,
Sun Country,,,,
Sun Country Airlines,,,,
Sun Jet International,,,,
Sun Pacific International,,,,
Sunworld International,,,,
Swift Air,,,,
TEM Enterprises dba Avelo,,,,
Tatonduk Flying Service,,,,
Tatonduk Outfitters Limited,,,,
Tower Air,,,,
Tradewinds,,,,
Trans American Charter,,,,
Trans Continental,,,,
Trans States,,,,
Trans World,,,,
Trans-Air-Link,,,,
TransMeridian,,,,
Tristar,,,,
Trump Shuttle,,,,
UFS,,,,
US Airways,,,,
USA 3000,,,,
USA Jet,,,,
USAfrica,,,,
USAir,,,,
USAir Shuttle,,,,
UltrAir,,,,
United,,NASDAQ,UAL,
United Parcel Service,,NYSE,UPS,
Valujet,,,,
Vanguard,,,,
Victory Air Transport,,,,
Virgin America,,,,
Viscount Air Service,,,,
Vision,,,,
Westair,,,,
Western Air Charter,,,,
Western Global,,,,
Western Pacific,,,,
Wilburs,,,,
Winair,,,,
World,,,,
Worldwide,,,,
XTRA,,,,
Zantop International,,,,